project, ground truth state, ground truth transition, result, result state, result transition, recall, precision, test_case_accuracy
FrequentFlyerRewardsCalculator, 3, 3, Ktail-1.gv, 3, 3, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, SEKT-2.gv, 5, 5, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, SEKT-1.gv, 3, 3, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, FSM-0.gv, 2, 2, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, Ktail-2.gv, 5, 5, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, contractorplus.gv, 2, 2, 1.0, 1.0, 1.0
Starter, 4, 5, Ktail-1.gv, 4, 5, 0.7752808988764045, 0.7674418604651163, 1.0
Starter, 4, 5, SEKT-2.gv, 4, 5, 0.7752808988764045, 0.72, 1.0
Starter, 4, 5, FSM-1.gv, 3, 4, 0.7752808988764045, 0.41509433962264153, 1.0
Starter, 4, 5, SEKT-1.gv, 4, 5, 0.7752808988764045, 0.7619047619047619, 1.0
Starter, 4, 5, FSM-0.gv, 2, 4, 0.7752808988764045, 0.0, 1.0
Starter, 4, 5, Ktail-2.gv, 4, 5, 0.7752808988764045, 0.735632183908046, 1.0
Starter, 4, 5, contractorplus.gv, 5, 6, 0.7752808988764045, 0.38372093023255816, 1.0
Starter, 4, 5, FSM-2.gv, 4, 5, 0.7752808988764045, 0.7727272727272727, 1.0
DigitalLocker, 7, 18, Ktail-1.gv, 18, 44, 0.39436619718309857, 1.0, 0.9454545454545454
DigitalLocker, 7, 18, FSM-5.gv, 7, 19, 0.7915492957746478, 0.06962025316455696, 1.0
DigitalLocker, 7, 18, SEKT-2.gv, 29, 52, 0.2084507042253521, 1.0, 0.9363636363636364
DigitalLocker, 7, 18, FSM-3.gv, 5, 15, 0.9098591549295775, 0.0, 1.0
DigitalLocker, 7, 18, FSM-6.gv, 8, 20, 0.7915492957746478, 0.6138613861386139, 1.0
DigitalLocker, 7, 18, FSM-1.gv, 3, 11, 0.9098591549295775, 0.0, 1.0
DigitalLocker, 7, 18, SEKT-1.gv, 18, 44, 0.39436619718309857, 1.0, 0.9454545454545454
DigitalLocker, 7, 18, FSM-10.gv, 10, 23, 0.7661971830985915, 1.0, 1.0
DigitalLocker, 7, 18, FSM-8.gv, 9, 21, 0.7915492957746478, 1.0, 1.0
DigitalLocker, 7, 18, FSM-9.gv, 10, 23, 0.7661971830985915, 1.0, 1.0
DigitalLocker, 7, 18, FSM-4.gv, 6, 16, 0.8225352112676056, 0.08064516129032258, 1.0
DigitalLocker, 7, 18, FSM-0.gv, 2, 10, 0.9098591549295775, 0.0, 1.0
DigitalLocker, 7, 18, Ktail-2.gv, 29, 52, 0.2084507042253521, 1.0, 0.9363636363636364
DigitalLocker, 7, 18, contractorplus.gv, 9, 29, 0.895774647887324, 1.0, 1.0
DigitalLocker, 7, 18, FSM-7.gv, 9, 21, 0.7915492957746478, 1.0, 1.0
DigitalLocker, 7, 18, FSM-2.gv, 4, 13, 0.9098591549295775, 0.0, 1.0
RoomThermostat, 3, 4, Ktail-1.gv, 5, 8, 0.782608695652174, 1.0, 1.0
RoomThermostat, 3, 4, SEKT-2.gv, 9, 14, 0.782608695652174, 1.0, 1.0
RoomThermostat, 3, 4, FSM-3.gv, 5, 10, 1.0, 0.7941176470588235, 1.0
RoomThermostat, 3, 4, FSM-1.gv, 3, 5, 1.0, 0.723404255319149, 1.0
