project,1-Tail,,,,,2-tail,,,,,sekt-1,,,,,sekt-2,,,,,contractor++,,,,,SMCON,,,,
,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy,result state,recall,precision,F-measure,test_case_accuracy
FrequentFlyerRewardsCalculator, 3,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 2,1.0,1.0,1.0,1.0, 2,1.0,1.0,1.0,1.0
PingPongGame, 15,1.0,0.4487650411652945,0.6195139010316488,1.0, 118,1.0,0.4475608627233176,0.6183655198874536,0.17098703888334996, 15,1.0,0.4537110302263016,0.6242107554974962,1.0, 114,1.0,0.4425531914893617,0.6135693215339233,0.17098703888334996, 2,1.0,0.43478260869565216,0.6060606060606061,1.0, 2,1.0,0.4126984126984127,0.5842696629213483,1.0
DigitalLocker, 32,0.6180904522613065,0.0916292430311122,0.15959867153503887,0.36889460154241643, 251,0.6180904522613065,0.07699203390175825,0.1369277517479891,0.1928020565552699, 32,0.6180904522613065,0.09080551989730423,0.15834770422024635,0.36889460154241643, 251,0.6180904522613065,0.07665502864309684,0.1363945290020089,0.1928020565552699, 3,1.0,0.09742300439974859,0.1775486827033219,1.0, 11,1.0,0.10349784379492094,0.18758141554494137,0.929305912596401
RoomThermostat, 5,0.7264150943396226,1.0,0.8415300546448087,1.0, 8,0.7264150943396226,1.0,0.8415300546448087,1.0, 5,0.7264150943396226,1.0,0.8415300546448087,1.0, 8,0.7264150943396226,1.0,0.8415300546448087,1.0, 4,1.0,1.0,1.0,1.0, 6,1.0,1.0,1.0,1.0
Bazaar, 23,1.0,0.25095508956617707,0.4012215812690872,0.9006896551724138, 101,1.0,0.2031860027955849,0.33774661992989485,0.06896551724137931, 24,1.0,0.2500576634759543,0.40007380584450025,0.9006896551724138, 101,1.0,0.2016445828499318,0.3356143500796097,0.06896551724137931, 2,1.0,0.2956521739130435,0.4563758389261745,1.0, 2,1.0,0.2818181818181818,0.4397163120567376,1.0
SimpleMarketplace, 6,1.0,0.7064516129032258,0.827977315689981,1.0, 13,1.0,0.4617786829599457,0.6318038268623444,1.0, 6,1.0,0.6928934010152284,0.8185907046476762,1.0, 13,1.0,0.4696066746126341,0.6390916463909164,1.0, 4,1.0,0.5662650602409639,0.7230769230769232,1.0, 5,1.0,0.5794573643410853,0.7337423312883435,1.0
RefrigeratedTransportation, 8,0.9238754325259516,1.0,0.960431654676259,1.0, 13,0.8615916955017301,1.0,0.9256505576208178,1.0, 8,0.9238754325259516,1.0,0.960431654676259,1.0, 13,0.8615916955017301,1.0,0.9256505576208178,1.0, 5,1.0,1.0,1.0,1.0, 6,0.8615916955017301,1.0,0.9256505576208178,1.0
HelloBlockchain, 6,1.0,0.4112676056338028,0.5828343313373254,1.0, 59,1.0,0.4220739092819182,0.5936033373891882,1.0, 6,1.0,0.37765205091937765,0.5482546201232033,1.0, 59,1.0,0.4218360750241914,0.5933680857225601,1.0, 2,1.0,0.4117647058823529,0.5833333333333334,1.0, 2,1.0,0.4939759036144578,0.6612903225806451,1.0
AssetTransfer, 27,0.8424554982532024,0.9285958498803356,0.8834308279217756,0.9115646258503401, 49,0.7664947596073864,0.8526831581443136,0.8072950664132247,0.7755102040816326, 27,0.8424554982532024,0.9278366788561206,0.883087121652076,0.9115646258503401, 49,0.7664947596073864,0.8530502821160261,0.8074595692969967,0.7755102040816326, 14,0.991615371818333,0.8146539970213748,0.8944661744206656,1.0, 15,0.9745799367825653,0.8166969147005445,0.8886805262295077,0.9795918367346939
BasicProvenance, 5,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 5,1.0,1.0,1.0,1.0, 3,1.0,1.0,1.0,1.0, 4,1.0,1.0,1.0,1.0
DefectiveComponentCounter, 3,1.0,0.8809523809523809,0.9367088607594937,1.0, 5,1.0,0.6666666666666666,0.8,1.0, 3,1.0,0.8636363636363636,0.9268292682926829,1.0, 5,1.0,0.6666666666666666,0.8,1.0, 2,1.0,0.6666666666666666,0.8,1.0, 2,1.0,0.6666666666666666,0.8,1.0
