project, ground truth state, ground truth transition, result, result state, result transition, recall, precision, test_case_accuracy
FrequentFlyerRewardsCalculator, 3, 3, Ktail-1.gv, 3, 3, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, SEKT-2.gv, 5, 5, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, SEKT-1.gv, 3, 3, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, FSM-0.gv, 2, 2, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, Ktail-2.gv, 5, 5, 1.0, 1.0, 1.0
FrequentFlyerRewardsCalculator, 3, 3, contractorplus.gv, 2, 2, 1.0, 1.0, 1.0
Starter, 4, 2, Ktail-1.gv, 15, 91, 1.0, 0.4487650411652945, 1.0
Starter, 4, 2, SEKT-2.gv, 114, 439, 1.0, 0.4425531914893617, 0.17098703888334996
Starter, 4, 2, SEKT-1.gv, 15, 91, 1.0, 0.4537110302263016, 1.0
Starter, 4, 2, FSM-0.gv, 2, 4, 1.0, 0.4126984126984127, 1.0
Starter, 4, 2, Ktail-2.gv, 118, 479, 1.0, 0.4475608627233176, 0.17098703888334996
Starter, 4, 2, contractorplus.gv, 2, 4, 1.0, 0.43478260869565216, 1.0
DigitalLocker, 7, 12, Ktail-1.gv, 32, 191, 0.6180904522613065, 0.0916292430311122, 0.36889460154241643
DigitalLocker, 7, 12, FSM-5.gv, 7, 66, 1.0, 0.10961810466760961, 1.0
DigitalLocker, 7, 12, SEKT-2.gv, 251, 898, 0.6180904522613065, 0.07665502864309684, 0.1928020565552699
DigitalLocker, 7, 12, FSM-3.gv, 5, 46, 1.0, 0.11350293542074363, 1.0
DigitalLocker, 7, 12, FSM-6.gv, 8, 82, 1.0, 0.1022804244750508, 1.0
DigitalLocker, 7, 12, FSM-1.gv, 3, 21, 1.0, 0.11267605633802817, 1.0
DigitalLocker, 7, 12, SEKT-1.gv, 32, 191, 0.6180904522613065, 0.09080551989730423, 0.36889460154241643
DigitalLocker, 7, 12, FSM-10.gv, 11, 97, 1.0, 0.1000253228665485, 0.929305912596401
DigitalLocker, 7, 12, FSM-8.gv, 9, 89, 1.0, 0.10030864197530864, 0.929305912596401
DigitalLocker, 7, 12, FSM-9.gv, 10, 95, 1.0, 0.1004847950639048, 0.929305912596401
DigitalLocker, 7, 12, FSM-11.gv, 11, 97, 1.0, 0.10349784379492094, 0.929305912596401
DigitalLocker, 7, 12, FSM-4.gv, 6, 55, 1.0, 0.1100418410041841, 1.0
DigitalLocker, 7, 12, FSM-0.gv, 2, 11, 1.0, 0.11450381679389313, 1.0
DigitalLocker, 7, 12, Ktail-2.gv, 251, 898, 0.6180904522613065, 0.07699203390175825, 0.1928020565552699
DigitalLocker, 7, 12, contractorplus.gv, 3, 30, 1.0, 0.09742300439974859, 1.0
DigitalLocker, 7, 12, FSM-7.gv, 9, 91, 1.0, 0.09242185743197662, 0.929305912596401
DigitalLocker, 7, 12, FSM-2.gv, 4, 34, 1.0, 0.1149843912591051, 1.0
RoomThermostat, 3, 4, Ktail-1.gv, 5, 7, 0.7264150943396226, 1.0, 1.0
RoomThermostat, 3, 4, SEKT-2.gv, 8, 12, 0.7264150943396226, 1.0, 1.0
RoomThermostat, 3, 4, FSM-3.gv, 5, 10, 1.0, 1.0, 1.0
RoomThermostat, 3, 4, FSM-1.gv, 3, 4, 1.0, 1.0, 1.0
RoomThermostat, 3, 4, SEKT-1.gv, 5, 7, 0.7264150943396226, 1.0, 1.0
